Date,CLOSE
2020-08-05,7.267
2020-08-06,7.875
2020-08-07,7.85
2020-08-10,7.525
2020-08-11,7.325
2020-08-12,7.049
2020-08-13,7.2
2020-08-14,7.9
2020-08-17,8.079
2020-08-18,8.468
2020-08-19,8.278
2020-08-20,8.065
2020-08-21,7.546
2020-08-24,8.296
2020-08-25,8.73
2020-08-26,9.085
2020-08-27,8.793
2020-08-28,9.64
2020-08-31,11.184
2020-09-01,11.337
2020-09-02,11.091
2020-09-03,11.69
2020-09-04,11.664
2020-09-07,11.13
2020-09-08,10.75
2020-09-09,10.694
2020-09-10,10.46
2020-09-11,10.371
2020-09-14,10.6
2020-09-15,10.783
2020-09-16,11.2
2020-09-17,10.976
2020-09-18,11.388
2020-09-21,11.226
2020-09-22,11.566
2020-09-23,11.75
2020-09-24,11.496
2020-09-25,11.452
2020-09-28,12.102
2020-09-29,12.0
2020-09-30,13.101
2020-10-01,13.01
2020-10-02,12.87
2020-10-05,13.294
2020-10-06,13.149
2020-10-07,13.563
2020-10-08,13.817
2020-10-09,13.692
2020-10-12,13.725
2020-10-13,13.5
2020-10-14,13.81
2020-10-15,14.124
2020-10-16,14.501
2020-10-19,14.715
2020-10-20,14.875
2020-10-21,14.853
2020-10-22,15.241
2020-10-23,15.411
2020-10-26,14.82
2020-10-27,14.607
2020-10-28,14.352
2020-10-29,14.05
2020-10-30,13.95
2020-11-02,13.575
2020-11-03,13.607
2020-11-04,13.73
2020-11-05,14.281
2020-11-06,13.766
2020-11-09,13.741
2020-11-10,13.925
2020-11-11,13.983
2020-11-12,13.843
2020-11-13,14.093
2020-11-16,14.392
2020-11-17,13.905
2020-11-18,13.621
2020-11-19,12.997
2020-11-20,12.804
2020-11-23,13.435
2020-11-24,13.823
2020-11-25,13.88
2020-11-26,13.872
2020-11-27,14.45
2020-11-30,15.12
2020-12-01,14.891
2020-12-02,14.897
2020-12-03,14.103
2020-12-04,14.52
2020-12-07,14.317
2020-12-08,14.397
2020-12-09,14.704
2020-12-10,15.493
2020-12-11,15.787
2020-12-14,16.592
2020-12-15,17.192
2020-12-16,16.478
2020-12-17,15.975
2020-12-18,15.94
2020-12-21,16.859
2020-12-22,17.632
2020-12-23,17.509
2020-12-24,17.533
2020-12-28,19.115
2020-12-29,18.774
2020-12-30,19.08
2020-12-31,19.249
2021-01-04,19.838
2021-01-05,18.126
2021-01-06,17.77
2021-01-07,19.53
2021-01-08,20.397
2021-01-11,22.47
2021-01-12,26.615
2021-01-13,21.808
2021-01-14,21.458
2021-01-15,20.532
2021-01-18,19.337
2021-01-19,20.417
2021-01-20,20.425
2021-01-21,20.302
2021-01-22,21.5
2021-01-25,20.226
2021-01-26,19.499
2021-01-27,19.603
2021-01-28,20.75
2021-01-29,19.679
2021-02-01,17.925
2021-02-02,18.218
2021-02-03,17.728
2021-02-04,18.019
2021-02-05,18.186
2021-02-08,19.886
2021-02-09,18.801
2021-02-10,18.261
2021-02-11,17.186
2021-02-12,17.355
2021-02-15,16.283
2021-02-16,16.498
2021-02-17,16.383
2021-02-18,16.974
2021-02-19,16.266
2021-02-22,15.89
2021-02-23,16.086
2021-02-24,16.127
2021-02-25,15.79
2021-02-26,15.62
2021-03-01,15.881
